brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
3,1,1,0,8,1,256,1024,2,64,0,2,3,0,0,46390,1,95,5
1,1,0,7,4,4,0,512,2,64,0,0,3,0,0,18990,2,197,25
1,1,0,7,4,4,0,512,2,32,0,0,3,0,0,17990,2,1180,148
4,1,0,7,4,1,0,512,2,64,0,0,3,0,0,26470,2,232,23
4,1,0,7,4,1,0,512,2,64,0,0,3,0,0,27990,2,596,65
5,1,0,7,4,1,0,1024,2,32,0,0,3,0,0,29999,2,19,1
5,1,0,7,4,5,0,512,2,64,0,0,3,0,0,25990,2,84,16
5,1,0,7,4,4,0,512,2,32,0,0,3,0,0,16990,2,414,54
5,1,0,7,4,4,0,512,2,32,0,0,3,0,0,24990,1,70,16
7,1,2,7,8,2,0,512,2,32,4,0,3,0,0,50990,3,10966,1185
7,1,2,7,8,4,0,512,2,32,0,0,0,0,0,119990,3,1,1
7,1,2,0,8,4,0,512,0,32,0,0,3,0,0,94190,3,31,6
1,1,2,0,8,4,0,512,0,32,4,0,3,0,0,106167,3,1881,241
3,1,2,0,8,4,0,512,0,32,4,0,0,0,0,68090,0,23,4
3,1,2,0,8,4,0,512,0,32,0,2,0,0,0,139990,2,0,0
4,1,2,0,8,4,0,512,0,32,0,2,3,0,0,55990,3,818,109
4,1,2,0,8,4,0,512,0,32,4,0,3,0,0,102551,2,0,0
5,1,2,0,8,4,0,512,0,32,2,0,3,0,0,46990,3,4428,569
4,1,2,5,8,1,128,0,2,64,0,2,0,0,0,76012,3,129,16
5,1,2,1,8,1,256,0,2,64,0,0,1,0,1,49490,3,365,35
7,1,2,4,8,0,256,0,2,64,0,2,0,0,1,86867,3,39,3
1,1,2,1,8,1,256,0,2,64,0,2,0,0,0,48990,2,0,0
3,1,2,1,8,1,256,0,2,64,0,2,3,0,0,55990,2,3,0
7,1,2,5,8,0,256,0,2,64,0,2,0,1,1,81998,3,14,3
4,1,2,5,8,1,256,0,2,64,0,0,0,1,1,136590,2,0,0
7,1,2,5,8,1,256,0,2,64,0,2,0,0,0,59490,2,33,7
1,1,2,1,8,1,256,0,2,64,0,2,0,0,0,49800,2,0,0
5,1,2,1,8,1,256,0,2,64,0,0,0,0,1,61999,1,4,0
4,1,2,1,8,1,512,0,2,64,0,2,3,0,0,54990,3,116,15
4,1,2,1,8,1,512,0,2,64,0,2,0,0,0,53990,3,206,17
5,1,2,1,8,1,512,0,2,64,0,0,1,0,1,52990,3,300,24
4,1,2,1,16,1,512,0,2,64,0,2,0,0,1,67990,3,108,6
1,1,2,0,8,1,512,0,2,64,4,1,0,0,0,57990,3,3712,412
5,1,2,1,16,1,512,0,2,64,0,2,0,0,1,62300,3,825,95
5,1,2,1,8,1,512,0,2,64,0,2,0,0,0,52990,2,0,0
5,1,2,1,8,1,512,0,2,64,0,2,1,0,1,51990,3,85,4
5,1,2,1,16,1,512,0,2,64,0,2,3,0,0,61990,3,56,7
1,1,2,1,8,5,512,0,2,32,0,0,0,1,1,63990,3,10,1
5,1,2,1,8,1,512,0,2,64,0,0,0,0,1,65990,3,17,4
7,1,2,1,8,1,512,0,2,64,0,2,0,0,0,52990,3,155,20
5,1,2,0,8,1,512,0,2,64,0,2,0,0,0,49990,2,0,0
1,1,2,1,8,1,512,0,2,64,4,1,3,0,0,71990,3,91,17
1,1,2,0,8,1,512,0,2,64,0,0,0,0,0,47990,3,35,2
5,1,2,0,8,1,512,0,2,32,0,2,1,0,1,48490,3,126,13
1,1,2,1,8,1,512,0,2,64,4,1,3,0,0,72990,3,74,10
6,1,2,1,16,1,512,0,2,64,4,0,1,0,0,76990,3,75,17
1,1,2,1,16,1,512,0,2,64,6,1,0,0,1,89990,3,124,17
6,1,2,0,8,1,512,0,2,64,4,0,1,0,0,59990,3,1597,228
1,1,2,0,8,1,512,0,2,64,4,1,0,0,1,65990,3,3850,378
3,1,2,1,8,1,512,0,2,64,0,0,3,1,0,71990,3,7,1
3,1,2,1,8,1,512,0,2,64,0,0,3,1,0,71890,3,3,0
5,1,2,1,16,1,512,0,2,64,0,2,3,0,0,64990,2,0,0
1,1,2,1,16,1,512,0,2,64,0,0,0,0,0,65990,2,0,0
4,1,2,1,8,1,512,0,2,64,0,2,3,0,0,55999,3,5,1
1,1,2,1,16,1,512,0,2,64,4,0,0,0,0,73490,3,213,45
4,1,2,1,16,1,512,0,2,64,0,2,0,0,1,74490,3,10,0
4,1,2,1,8,1,512,0,2,64,0,2,0,0,1,58340,3,69,6
7,1,2,1,8,1,512,0,2,64,0,2,0,0,0,55999,3,6,0
3,1,2,1,16,1,512,0,2,64,0,2,3,0,0,67990,3,93,9
1,1,2,1,16,1,512,0,2,64,0,0,0,0,0,59990,3,11,2
1,1,2,1,16,1,512,0,2,64,6,0,0,0,1,82990,3,262,31
3,1,2,1,8,1,512,0,2,64,2,0,0,0,1,64190,2,0,0
3,1,2,1,16,1,512,0,2,64,0,2,3,0,0,70090,3,5,1
1,1,2,0,8,1,512,0,2,64,2,2,0,0,0,49990,3,45,3
6,1,2,1,8,1,512,0,2,64,0,2,3,0,0,55490,2,8,1
4,1,2,1,8,5,512,0,2,64,0,0,3,1,0,97990,4,3,1
1,1,2,6,8,1,512,0,2,64,4,1,0,0,1,54990,3,1681,227
5,1,2,1,8,1,512,0,2,64,0,2,0,0,1,59990,3,37,2
5,1,2,1,8,1,512,0,2,64,0,2,0,0,1,53990,3,61,2
4,1,2,1,16,1,512,0,2,64,0,2,0,0,1,66999,3,17,1
7,1,2,1,8,5,512,0,2,64,0,2,0,0,1,60990,3,17,1
1,1,2,0,8,1,512,0,2,64,0,2,0,0,1,47990,3,1625,152
4,1,2,1,8,1,512,0,2,32,0,2,0,0,1,59999,3,4,1
3,1,2,0,16,1,512,0,2,64,4,0,0,0,0,79990,2,0,0
1,1,2,0,8,1,512,0,2,64,4,1,0,0,0,63990,2,0,0
4,1,2,1,8,1,512,0,2,64,0,2,0,0,1,63990,3,17,1
1,1,2,1,16,1,512,0,2,64,0,0,0,0,0,59990,2,0,0
5,1,2,1,8,1,512,0,2,64,0,2,0,0,0,55990,2,0,0
1,1,2,1,16,1,512,0,2,64,0,0,0,0,0,59990,2,0,0
4,1,2,1,8,1,512,0,2,64,0,2,0,0,1,63990,3,3,0
3,1,2,1,16,1,512,0,2,64,2,0,0,0,1,69490,2,0,0
3,1,2,1,16,1,512,0,2,64,0,0,0,1,1,89390,2,0,0
1,1,2,1,8,5,512,0,2,64,0,2,3,0,0,74990,2,0,0
